,birthDate,birthPlace,assistences,field_goal_percentage,field_goal_percentage_3_pts,free_throw_percentage,games,player_efficiency_rating,points,total_rebounds,win_shares,effective_field_goal_percentage,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,salary
140,"September 9, 1978","Birmingham, Michigan",1.8,43.7,38.4,74.3,977,12.6,8.6,4.2,75.7,52.9,Duke University,6.0,1.0,Memphis Grizzlies,2001,6-8,"Detroit Country Day School in Beverly Hills, Michigan",Shane Battier,Small Forward and Shooting Guard,Right,220lb,4351509.5
142,"October 10, 1964","Aurora, Illinois",0.8,50.4,13.3,72.5,134,12.5,4.7,2.4,3.7,50.8,"Northern Illinois University, University of Illinois at Urbana-Champaign",27.0,1.0,Detroit Pistons,1989,6-6,"West Aurora in Aurora, Illinois",Kenny Battle,Shooting Guard,Left,210lb,245000.0
144,"January 27, 1979","Silver Spring, Maryland",0.2,46.6,20.0,65.7,162,11.6,3.9,2.9,2.9,46.7,University of Maryland,44.0,2.0,Chicago Bulls,2002,6-8,"Hargrave Military Academy in Chatham, Virginia",Lonny Baxter,Power Forward and Center,Right,260lb,568465.0
145,"August 20, 1988","Phoenix, Arizona",2.9,41.1,36.1,81.8,586,12.2,8.4,2.1,18.6,47.1,University of Arizona,11.0,1.0,Indiana Pacers,2008,6-3,"Saint Mary's in Phoenix, Arizona",Jerryd Bayless,Point Guard and Shooting Guard,Right,200lb,4003060.5
149,"June 28, 1993","St. Louis, Missouri",3.7,45.2,38.4,79.8,488,17.1,19.8,3.9,36.4,51.9,University of Florida,3.0,1.0,Washington Wizards,2012,6-5,"Chaminade College Preparatory School in St. Louis, Missouri",Bradley Beal,Shooting Guard,Right,207lb,10757462.0
150,"May 17, 1980","Compton, California",0.0,33.3,-,-,2,5.9,1.0,0.5,0.0,33.3,"Midland College, University of North Dakota",33.0,2.0,Miami Heat,2003,6-10,"Moreno Valley in Moreno Valley, California",Jerome Beasley,Power Forward,Right,237lb,493488.5
151,"November 26, 1996","Atlanta, Georgia",0.8,46.1,38.8,78.9,165,13.0,7.2,1.7,5.0,56.2,Florida State University,19.0,1.0,Denver Nuggets,2016,6-5,"Saint Francis in Alpharetta, Georgia",Malik Beasley,Shooting Guard,Right,195lb,1663980.0
152,"January 9, 1989","Cheverly, Maryland",1.3,46.5,34.9,75.9,609,15.6,12.4,4.7,15.6,48.7,Kansas State University,2.0,1.0,Miami Heat,2008,6-9,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Michael Beasley,Power Forward and Small Forward,Left,235lb,2822272.2
155,"December 14, 1963","Memphis, Tennessee",0.5,41.6,31.8,60.5,238,9.7,4.1,2.4,0.9,41.9,University of Memphis,6.0,1.0,Phoenix Suns,1986,7-0,"Melrose in Memphis, Tennessee",William Bedford,Center,Right,225lb,800000.0
158,"January 7, 1995","Los Angeles, California",1.4,57.0,0.0,64.7,125,15.5,3.9,3.1,4.5,57.0,University of Oregon,38.0,2.0,Chicago Bulls,2017,6-9,"Long Beach Poly in Long Beach, California",Jordan Bell,Center,Right,224lb,815615.0
160,"November 10, 1980","Minneapolis, Minnesota",0.7,22.2,0.0,100.0,6,-4.5,1.8,0.7,-0.2,22.2,Boston College,16.0,1.0,Boston Celtics,2003,6-1,"Academy of Holy Angels in Richfield, Minnesota",Troy Bell,Point Guard,Right,180lb,1381880.0
161,"July 4, 1994","Charlotte, North Carolina",1.9,44.5,28.1,60.5,146,10.0,6.3,3.3,0.8,48.2,Saint Joseph's University,21.0,1.0,Atlanta Hawks,2016,6-6,"The Patrick School in Elizabeth, New Jersey",DeAndre' Bembry,Shooting Guard and Small Forward,Right,210lb,1533480.0
165,"November 22, 1964","Monroe, Louisiana",1.3,49.7,4.8,72.1,807,14.8,11.4,7.5,32.7,49.7,Creighton University,3.0,1.0,Los Angeles Clippers,1985,7-0,"Carroll in Monroe, Louisiana",Benoit Benjamin,Center,Right,250lb,2091375.4
166,"February 24, 1978","Compton, California",0.9,39.0,28.9,65.2,153,8.9,5.5,1.7,-0.9,42.5,Oregon State University,28.0,1.0,Chicago Bulls,1998,6-6,"Fontana in Fontana, California",Corey Benjamin,Shooting Guard and Point Guard,Right,200lb,661720.0
167,"March 14, 1993","Toronto, Canada",0.5,39.2,26.1,67.0,151,10.2,4.4,3.1,0.5,42.0,"University of Nevada, Las Vegas",1.0,1.0,Cleveland Cavaliers,2013,6-8,"Findlay College Prep in Henderson, Nevada",Anthony Bennett,Power Forward,Right,245lb,3300234.5
168,"August 1, 1973","Denton, Texas",0.4,53.4,33.3,51.1,68,18.2,4.0,2.7,1.9,53.6,Arizona State University,27.0,1.0,Phoenix Suns,1995,6-6,"Denton in Denton, Texas",Mario Bennett,Power Forward and Small Forward,Right,235lb,484375.0
169,"June 1, 1969","Green Bay, Wisconsin",2.0,41.2,33.5,73.2,152,9.5,3.5,1.0,1.6,46.4,University of Wisconsin-Green Bay,35.0,2.0,Charlotte Hornets,1992,6-0,"Preble in Green Bay, Wisconsin",Tony Bennett,Point Guard,Right,175lb,182000.0
172,"August 13, 1988","Cleveland, Ohio",0.0,0.0,-,-,3,6.0,0.0,1.0,0.0,0.0,Oakland University,48.0,2.0,Atlanta Hawks,2011,6-11,"Detroit Country Day School in Beverly Hills, Michigan",Keith Benson,Center,Right,240lb,75000.0
173,"December 27, 1954","New Castle, Indiana",1.8,49.3,20.6,75.7,680,14.2,9.1,5.7,33.6,49.4,Indiana University,1.0,1.0,Milwaukee Bucks,1977,6-10,"Chrysler in New Castle, Indiana",Kent Benson,Center,Right,235lb,320000.0
174,"March 29, 1995",Ghana,0.0,0.0,0.0,-,3,-17.6,0.0,0.7,-0.1,0.0,Providence College,51.0,2.0,Boston Celtics,2016,6-9,"St. Andrew's School in Middletown, Delaware",Ben Bentil,Power Forward,Right,235lb,110656.336
175,"October 6, 1964","Lansing, Michigan",1.3,45.0,40.6,78.9,64,13.1,11.0,3.1,2.4,50.7,"Oregon State University, San Jose State University",18.0,1.0,Sacramento Kings,1988,6-8,"Live Oak in Morgan Hill, California",Ricky Berry,Shooting Guard,Right,205lb,300000.0
176,"May 14, 1964","New York, New York",1.4,53.9,20.0,63.8,205,16.6,14.1,4.7,8.2,54.0,St. John's University,14.0,1.0,Portland Trail Blazers,1986,6-8,"Benjamin Franklin in New York, New York",Walter Berry,Power Forward and Small Forward,Left,215lb,300000.0
178,"July 12, 1972","Springfield, Massachusetts",3.5,43.1,34.5,83.5,708,13.8,7.6,1.8,30.9,46.0,Georgia Institute of Technology,23.0,1.0,Indiana Pacers,1995,5-11,"Springfield Central in Springfield, Massachusetts",Travis Best,Point Guard,Left,182lb,1821167.9
179,"July 12, 1988","Chicago, Illinois",3.5,41.2,38.0,77.0,380,12.5,9.0,4.3,24.8,51.7,University of Arkansas,42.0,2.0,Los Angeles Lakers,2009,6-1,"Marshall in Chicago, Illinois",Patrick Beverley,Point Guard and Shooting Guard,Right,185lb,3333167.8
181,"May 13, 1978","Cherry Hill, New Jersey",5.5,43.6,37.9,80.2,1001,16.1,14.7,3.1,73.2,49.7,University of Arizona,2.0,1.0,Vancouver Grizzlies,1998,6-1,"Shadow Mountain in Phoenix, Arizona",Mike Bibby,Point Guard,Right,190lb,7649544.5
183,"September 25, 1976","Denver, Colorado",5.4,41.5,38.7,89.4,1043,18.8,15.2,2.9,120.8,49.5,University of Colorado,3.0,1.0,Boston Celtics,1997,6-3,"George Washington in Denver, Colorado",Chauncey Billups,Point Guard and Shooting Guard,Right,202lb,5957095.5
185,"December 7, 1956","West Baden, Indiana",6.3,49.6,37.6,88.6,897,23.5,24.3,10.0,145.8,51.4,Indiana State University,6.0,1.0,Boston Celtics,1978,6-9,"Springs Valley in French Lick, Indiana",Larry Bird,Power Forward and Small Forward,Right,220lb,2513333.2
186,"December 9, 1955","Winter Haven, Florida",3.2,50.6,27.4,65.5,696,16.5,18.0,3.0,48.2,50.9,University of Houston,2.0,1.0,Kansas City Kings,1977,6-3,"Winter Haven in Winter Haven, Florida",Otis Birdsong,Shooting Guard,Right,190lb,891666.7
189,"March 26, 1962","Munich, Germany",0.4,43.3,-,60.8,235,6.6,2.1,1.8,0.4,43.3,Indiana University,17.0,1.0,Dallas Mavericks,1985,7-1,"Effingham in Effingham, Illinois",Uwe Blab,Center,Right,252lb,246666.67
191,"February 26, 1959","Panama City, Panama",3.0,49.3,34.3,84.0,980,16.7,18.0,3.3,75.6,50.1,Kansas State University,9.0,1.0,Dallas Mavericks,1981,6-6,"William E. Grady Career and Technical in Brooklyn, New York",Rolando Blackman,Shooting Guard,Right,190lb,1140454.2
193,"April 22, 1989","Pittsburgh, Pennsylvania",0.8,52.4,0.0,60.8,424,16.5,6.8,5.1,19.0,52.4,University of Pittsburgh,37.0,2.0,San Antonio Spurs,2009,6-7,"Schenley in Pittsburgh, Pennsylvania",DeJuan Blair,Center and Power Forward,Right,270lb,1250843.9
194,"February 26, 1980","Hollywood, Florida",4.0,40.1,38.3,77.9,870,11.1,6.5,2.1,29.1,50.1,University of Maryland,38.0,2.0,Washington Wizards,2003,6-3,"Oak Hill Academy in Mouth of Wilson, Virginia",Steve Blake,Point Guard,Right,172lb,2845726.2
195,"September 8, 1983","Boston, Massachusetts",1.2,30.0,20.0,100.0,14,4.5,1.8,1.1,-0.1,31.7,Iowa State University,60.0,2.0,Detroit Pistons,2006,6-0,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Will Blalock,Point Guard,Right,205lb,412718.0
196,"September 9, 1966","Del Rio, Texas",0.8,43.6,25.3,66.7,142,8.8,2.0,0.8,0.7,47.2,"University of Virginia, University of Texas at Austin",26.0,1.0,Detroit Pistons,1990,6-4,"McCullough in The Woodlands, Texas",Lance Blanks,Shooting Guard,Right,190lb,423333.34
197,"April 21, 1966","Miami, Florida",0.5,42.9,-,-,2,19.3,3.0,1.5,0.0,42.9,Louisiana State University,46.0,2.0,Phoenix Suns,1989,6-7,"Killian in Miami, Florida",Ricky Blanton,Small Forward,Right,215lb,8000.0
199,"March 20, 1967","Garland, Texas",6.7,40.9,33.6,73.6,889,16.8,13.5,4.1,71.8,46.5,"Midland College, University of Oklahoma",12.0,1.0,New Jersey Nets,1989,6-0,"Garland in Garland, Texas",Mookie Blaylock,Point Guard,Right,180lb,2649166.8
200,"December 9, 1989","Birmingham, Alabama",4.8,45.5,33.6,79.4,570,18.1,14.1,3.9,37.0,50.3,University of Kentucky,18.0,1.0,Oklahoma City Thunder,2010,6-1,"A.H. Parker in Birmingham, Alabama",Eric Bledsoe,Point Guard,Right,205lb,7647053.0
201,"January 4, 1969","Monrovia, California",0.7,47.1,11.5,58.7,644,11.1,3.6,4.2,18.2,47.1,University of Cincinnati,25.0,1.0,Chicago Bulls,1993,6-9,"Monrovia in Monrovia, California",Corie Blount,Power Forward and Center,Right,240lb,1203477.9
202,"November 30, 1975","Dobbs Ferry, New York",0.8,50.4,35.9,72.3,605,12.5,8.2,4.6,18.8,50.8,University of Pittsburgh,54.0,2.0,Seattle SuperSonics,1997,7-0,"Oak Hill Academy in Mouth of Wilson, Virginia",Mark Blount,Center,Right,230lb,4464967.0
204,"May 12, 1980","Alexandria, Virginia",1.3,39.4,35.3,71.6,671,9.6,6.3,2.7,20.4,48.9,University of Kentucky,43.0,2.0,Milwaukee Bucks,2003,6-5,"DeMatha Catholic in Hyattsville, Maryland",Keith Bogans,Small Forward and Shooting Guard,Right,215lb,1740034.6
207,"January 9, 1965","Baltimore, Maryland",7.6,45.8,27.8,82.7,889,15.0,7.7,2.6,54.0,46.7,Wake Forest University,12.0,1.0,Washington Bullets,1987,5-3,"Paul Laurence Dunbar in Baltimore, Maryland",Muggsy Bogues,Point Guard,Right,136lb,1151775.0
208,"November 28, 1984","Melbourne, Australia",2.2,53.5,12.0,55.7,706,16.4,9.6,8.7,50.6,53.5,University of Utah,1.0,1.0,Milwaukee Bucks,2005,7-0,"Australian Institute of Sport in Melbourne, Australia",Andrew Bogut,Power Forward and Center,Right,260lb,8402833.0
212,"June 8, 1968","St. Louis, Missouri",1.4,46.8,12.5,59.0,318,11.5,6.9,5.4,10.8,46.9,Saint Louis University,23.0,1.0,Sacramento Kings,1990,6-8,"Vashon in St. Louis, Missouri",Anthony Bonner,Small Forward and Power Forward,Right,215lb,706500.0
213,"April 5, 1980","Concord, New Hampshire",0.7,46.4,41.4,78.0,792,13.6,5.8,3.0,38.5,57.0,University of Florida,45.0,2.0,Chicago Bulls,2003,6-10,"Concord in Concord, New Hampshire",Matt Bonner,Power Forward and Center,Right,235lb,2510694.5
214,"October 30, 1996","Grand Rapids, Michigan",4.2,43.7,35.4,85.4,272,16.1,21.4,3.5,9.8,49.4,University of Kentucky,13.0,1.0,Phoenix Suns,2015,6-6,"Moss Point in Moss Point, Mississippi",Devin Booker,Shooting Guard,Right,210lb,2223600.0
215,"November 25, 1987","Newberry, South Carolina",1.1,51.5,30.5,63.6,532,15.0,6.9,5.5,26.2,52.8,Clemson University,23.0,1.0,Minnesota Timberwolves,2010,6-8,"Union County in Union, South Carolina",Trevor Booker,Power Forward,Left,228lb,3813121.8
216,"November 21, 1984","Mount Airy, Maryland",0.5,54.4,-,44.5,256,14.2,5.2,4.9,9.1,54.4,University of Connecticut,23.0,1.0,New Jersey Nets,2006,6-10,"West Nottingham Academy in Colora, Maryland",Josh Boone,Center and Power Forward,Right,237lb,1364022.0
217,"May 7, 1976","Reynoldsburg, Ohio",0.4,45.1,22.2,74.8,366,12.4,3.3,2.8,8.0,45.2,Pennsylvania State University,35.0,2.0,Washington Wizards,1999,6-11,"Groveport Madison in Reynoldsburg, Ohio",Calvin Booth,Center,Left,230lb,3242634.0
218,"October 9, 1974","Baltimore, Maryland",0.9,32.5,9.1,56.3,45,7.3,2.9,2.2,-0.8,32.8,University of Maryland,28.0,1.0,Chicago Bulls,1997,6-6,"Paul Laurence Dunbar in Baltimore, Maryland",Keith Booth,Small Forward,Right,226lb,687240.0
219,"November 20, 1981","Aschaffenburg, Germany",2.2,52.1,7.1,72.2,861,19.5,16.2,9.5,80.3,52.1,Duke University,35.0,2.0,Cleveland Cavaliers,2002,6-9,"Juneau-Douglas in Juneau, Alaska",Carlos Boozer,Center and Power Forward,Right,258lb,10436410.0
220,"September 13, 1980","Buffalo, New York",0.8,42.1,0.0,74.2,83,9.0,3.1,3.3,1.0,42.1,Stanford University,18.0,1.0,Orlando Magic,2002,7-0,"Eastlake in Redmond, Washington",Curtis Borchardt,Center,Right,240lb,1387958.2
222,"March 24, 1984","Dallas, Texas",2.0,49.4,33.5,79.9,893,20.6,19.2,8.5,106.0,50.6,Georgia Institute of Technology,4.0,1.0,Toronto Raptors,2003,6-11,"Lincoln in Dallas, Texas",Chris Bosh,Power Forward and Center,Left,235lb,14351489.0
223,"October 2, 1953","Montgomery, Alabama",1.6,53.3,54.5,72.4,366,13.7,7.7,4.7,15.2,53.4,"South Carolina State University, University of South Carolina",17.0,1.0,Boston Celtics,1975,6-9,"Carver in Montgomery, Alabama",Tom Boswell,Power Forward,Right,220lb,65000.0
224,"May 20, 1978","Edea, Cameroon",0.1,36.8,-,55.6,44,6.4,1.0,1.3,0.2,36.8,Georgetown University,50.0,2.0,Portland Trail Blazers,2001,7-0,"Archbishop Carroll in Washington, District of Columbia",Ruben Boumtje-Boumtje,Center,Right,257lb,502977.0
225,"March 31, 1977","Sharps, Virginia",0.2,40.4,18.2,76.8,142,11.3,3.0,1.9,1.8,40.7,Old Dominion University,17.0,1.0,Atlanta Hawks,1999,6-10,"Rappahannock in Warsaw, Virginia",Cal Bowdler,Small Forward and Power Forward,Right,245lb,1102800.0
227,"November 20, 1975","Fort Madison, Iowa",0.5,45.6,20.6,69.3,507,10.5,2.6,2.1,12.4,46.2,University of Iowa,55.0,2.0,Denver Nuggets,1998,6-7,"Fort Madison in Fort Madison, Iowa",Ryan Bowen,Small Forward and Power Forward and Shooting Guard,Right,215lb,808700.6
229,"March 17, 1961","Lebanon, Pennsylvania",2.1,45.2,30.2,74.8,511,14.6,10.9,7.5,26.9,45.6,University of Kentucky,2.0,1.0,Portland Trail Blazers,1984,7-1,"Lebanon in Lebanon, Pennsylvania",Sam Bowie,Center,Right,235lb,1859444.5
231,"September 2, 1973","Chicago, Illinois",0.5,34.9,25.0,50.0,30,9.3,2.6,0.8,-0.3,38.4,University of Colorado,42.0,2.0,Atlanta Hawks,1995,6-5,"Proviso East in Maywood, Illinois",Donnie Boyce,Shooting Guard,Right,196lb,248750.0
234,"October 9, 1987","Los Angeles, California",0.5,26.5,21.4,50.0,17,3.1,1.8,1.1,-0.2,29.6,Iowa State University,21.0,1.0,Oklahoma City Thunder,2010,6-10,"Brewster Academy in Wolfeboro, New Hampshire",Craig Brackins,Power Forward,Right,230lb,1355940.0
235,"November 26, 1990","Tacoma, Washington",1.8,43.6,36.4,77.8,522,11.2,12.0,3.0,14.6,49.4,University of Texas at Austin,19.0,1.0,Boston Celtics,2010,6-2,"Findlay College Prep in Henderson, Nevada",Avery Bradley,Point Guard and Shooting Guard,Right,180lb,4885609.0
236,"March 19, 1957","Baltimore, Maryland",1.9,44.0,29.3,73.0,600,12.0,5.2,1.8,16.5,45.8,University of North Carolina,13.0,1.0,Indiana Pacers,1979,6-6,"Edgewood in Edgewood, Maryland",Dudley Bradley,Shooting Guard,Right,195lb,91666.664
237,"April 18, 1979","Worcester, Massachusetts",0.5,47.7,14.3,51.1,173,11.3,2.8,3.4,2.0,47.9,"University of Kentucky, Villanova University",17.0,1.0,Toronto Raptors,2001,6-10,"Burncoat in Worcester, Massachusetts",Michael Bradley,Power Forward and Center,Right,245lb,1032599.2
238,"March 22, 1972","Landstuhl, Germany",0.7,45.7,10.3,71.6,832,16.0,8.1,6.3,40.7,45.7,Brigham Young University,2.0,1.0,Philadelphia 76ers,1993,7-6,"Emery County in Castle Dale, Utah",Shawn Bradley,Center,Right,235lb,4970000.0
239,"January 8, 1998","Bartow, Florida",0.2,40.7,0.0,75.0,12,15.1,2.1,2.2,0.1,40.7,University of North Carolina,28.0,1.0,Los Angeles Lakers,2017,6-10,"Bartow in Bartow, Florida",Tony Bradley,Center,Right,248lb,1414920.0
242,"May 15, 1976","Fresno, California",0.3,47.5,-,66.7,22,9.8,2.1,2.3,0.3,47.5,Xavier University,57.0,2.0,Utah Jazz,1998,6-8,"Edison in Fresno, California",Torraye Braggs,Power Forward,Right,245lb,185333.0
243,"January 10, 1977","Dekalb, Illinois",0.0,19.0,-,-,8,-0.4,1.0,2.8,-0.2,19.0,University of Arizona,39.0,2.0,Cleveland Cavaliers,1999,6-10,"La Cueva in Albuquerque, New Mexico",A.J. Bramlett,Center,Right,227lb,118974.0
244,"November 17, 1963","Washington, District of Columbia",0.7,45.5,23.1,74.4,130,15.1,6.4,1.9,2.1,46.1,University of Maryland,46.0,2.0,Chicago Bulls,1985,6-7,"DeMatha Catholic in Hyattsville, Maryland",Adrian Branch,Small Forward,Right,185lb,150000.0
245,"March 11, 1979","Cortlandt Manor, New York",2.1,50.0,9.5,73.6,1058,20.5,15.9,8.5,109.6,50.1,Duke University,1.0,1.0,Chicago Bulls,1999,6-8,"Peekskill in Peekskill, New York",Elton Brand,Power Forward and Center,Right,275lb,8906807.0
246,"May 20, 1970","Portland, Oregon",6.1,44.8,35.5,87.3,724,19.7,13.8,3.0,65.9,47.1,University of Oregon,11.0,1.0,Cleveland Cavaliers,1991,5-11,"Grant in Portland, Oregon",Terrell Brandon,Point Guard,Right,180lb,4583495.5
249,"October 11, 1960","Lake City, Minnesota",0.9,46.7,0.0,62.8,681,13.2,6.8,4.4,20.9,46.7,University of Minnesota,18.0,1.0,Milwaukee Bucks,1983,7-3,"Lincoln in Lake City, Minnesota",Randy Breuer,Center,Right,230lb,594500.0
250,"March 5, 1986","Portland, Tennessee",1.5,42.5,28.4,71.3,814,11.8,8.7,2.8,22.5,46.5,University of Florida,7.0,1.0,Minnesota Timberwolves,2007,6-9,"Portland in Portland, Tennessee",Corey Brewer,Shooting Guard and Small Forward,Right,186lb,4200494.0
251,"November 19, 1980","East Point, Georgia",1.0,37.2,25.0,39.3,54,7.0,1.6,0.9,0.0,41.5,Auburn University,41.0,2.0,Indiana Pacers,2001,6-4,"Newport School in Silver Spring, Maryland",Jamison Brewer,Shooting Guard and Point Guard,Right,184lb,550994.25
252,"March 20, 1985","Portland, Oregon",1.6,49.0,25.4,67.5,502,14.4,7.8,2.8,30.4,50.5,University of Arkansas,14.0,1.0,Utah Jazz,2006,6-7,"Fayetteville in Fayetteville, Arkansas",Ronnie Brewer,Shooting Guard and Small Forward,Right,220lb,2452281.0
254,"August 14, 1959","Bayville, New York",1.9,51.9,32.4,74.0,731,14.2,10.0,4.7,29.8,52.4,Pennsylvania State University,57.0,3.0,New York Knicks,1981,6-9,"Locust Valley in Locust Valley, New York",Frank Brickowski,Power Forward and Center and Small Forward,Right,240lb,1506444.5
255,"September 17, 1953","East Chicago, Indiana",2.4,47.5,24.4,84.6,849,15.6,13.6,3.5,45.0,47.7,University of Louisville,8.0,1.0,Los Angeles Lakers,1975,6-5,"Washington in East Chicago, Indiana",Junior Bridgeman,Shooting Guard and Small Forward,Right,210lb,350000.0
256,"June 21, 1963","Clearwater, Florida",0.2,50.0,-,52.4,38,4.7,1.7,1.4,-0.1,50.0,University of South Carolina,29.0,2.0,San Antonio Spurs,1985,7-0,"Clearwater in Clearwater, Florida",Mike Brittain,Center,Right,235lb,105000.0
257,"March 20, 1987","Snohomish, Washington",0.3,48.8,0.0,61.8,150,10.3,2.1,3.1,3.7,48.8,University of Washington,38.0,2.0,Portland Trail Blazers,2009,6-7,"Snohomish in Snohomish, Washington",Jon Brockman,Center and Power Forward,Right,255lb,864397.0
258,"December 11, 1992","Atlanta, Georgia",3.6,48.4,40.8,89.5,187,15.7,12.8,3.5,13.4,54.8,University of Virginia,36.0,2.0,Milwaukee Bucks,2016,6-5,"Greater Atlanta Christian in Norcross, Georgia",Malcolm Brogdon,Shooting Guard and Point Guard,Right,229lb,1118805.5
259,"January 14, 1985","Seattle, Washington",3.0,41.3,37.0,83.7,645,13.3,9.7,1.7,19.2,48.8,University of Oregon,26.0,1.0,Houston Rockets,2007,6-0,"Franklin in Seattle, Washington",Aaron Brooks,Point Guard,Right,161lb,1831293.9
260,"January 22, 1996","Mississauga, Canada",1.5,43.5,35.9,74.5,100,9.6,10.3,2.9,1.2,49.6,University of Oregon,45.0,2.0,Houston Rockets,2017,6-6,"Findlay Prep in Henderson, Nevada",Dillon Brooks,Small Forward,Right,220lb,815615.0
261,"October 12, 1969","Beaufort, South Carolina",0.4,40.1,20.0,85.9,126,8.3,3.3,1.1,-0.1,41.5,University of Louisiana at Lafayette,18.0,1.0,Milwaukee Bucks,1991,6-6,"White Castle in White Castle, Louisiana",Kevin Brooks,Small Forward,Right,200lb,750000.0
262,"January 26, 1989","Long Branch, New Jersey",1.4,44.7,34.5,75.1,200,13.9,8.0,2.1,3.3,48.7,Providence College,25.0,1.0,Boston Celtics,2011,6-5,"Tucker in Stone Mountain, Georgia",MarShon Brooks,Shooting Guard,Right,200lb,961489.25
263,"August 17, 1958","Philadelphia, Pennsylvania",2.6,48.6,15.2,71.4,319,15.2,12.8,6.3,16.5,48.6,La Salle University,9.0,1.0,San Diego Clippers,1980,6-7,"West Catholic in Philadelphia, Pennsylvania",Michael Brooks,Small Forward,Right,220lb,75000.0
267,"February 29, 1968","New York, New York",0.8,49.1,22.7,69.9,694,11.6,5.9,3.1,19.0,49.4,North Carolina State University,43.0,2.0,Cleveland Cavaliers,1989,6-7,"North Brunswick in Leland, North Carolina",Chucky Brown,Power Forward and Small Forward,Right,214lb,495906.25
268,"June 28, 1979","Buffalo, New York",0.5,33.6,28.6,66.7,39,3.9,2.8,1.3,-0.7,35.2,Syracuse University,37.0,2.0,Philadelphia 76ers,2001,6-9,"Seneca Vocational in Buffalo, New York",Damone Brown,Power Forward and Small Forward,Right,200lb,267662.5
269,"November 29, 1968","Jacksonville, Florida",3.7,43.6,35.7,82.5,608,14.6,11.1,2.6,33.4,48.8,Jacksonville University,19.0,1.0,Boston Celtics,1990,6-1,"The Bolles School in Jacksonville, Florida",Dee Brown,Point Guard and Shooting Guard,Right,160lb,2194727.2
